ts,stage_m,source
2019-07-02T05:40:00+05:30,0.045,illustrative
2019-07-02T05:55:00+05:30,0.123,illustrative
2019-07-02T06:10:00+05:30,0.238,illustrative
2019-07-02T06:25:00+05:30,0.389,illustrative
2019-07-02T06:40:00+05:30,0.573,illustrative
2019-07-02T06:55:00+05:30,0.787,illustrative
2019-07-02T07:10:00+05:30,1.028,illustrative
2019-07-02T07:25:00+05:30,1.292,illustrative
2019-07-02T07:40:00+05:30,1.574,illustrative
2019-07-02T07:55:00+05:30,1.871,illustrative
2019-07-02T08:10:00+05:30,2.176,illustrative
2019-07-02T08:25:00+05:30,2.487,illustrative
2019-07-02T08:40:00+05:30,2.797,illustrative
2019-07-02T08:55:00+05:30,3.102,illustrative
2019-07-02T09:10:00+05:30,3.396,illustrative
2019-07-02T09:25:00+05:30,3.676,illustrative
2019-07-02T09:40:00+05:30,3.936,illustrative
