rank,edge_id,street,beta_mean,beta_sd,capacity_reduction_pct,observations,hotspots_explained,confidence
1,MUM-E034218,New Prabhadevi Marg,0.3766,0.1655,54.5,1,,inferred
2,MUM-E008049,,0.3713,0.1388,53.9,0,,inferred
3,MUM-E018095,Khodadad Circle,0.3715,0.2226,53.9,0,,inferred
4,MUM-E024329,,0.3677,0.1461,53.4,0,,inferred
5,MUM-E039082,,0.3669,0.1439,53.3,0,,inferred
6,MUM-E022111,I A Project Road,0.3655,0.1458,53.2,0,,inferred
7,MUM-E039083,,0.3663,0.1417,53.2,0,,inferred
8,MUM-E025674,,0.3648,0.1346,53.1,0,,inferred
9,MUM-E004660,,0.3645,0.1344,53.0,0,,inferred
10,MUM-E015038,,0.3645,0.1397,53.0,0,,inferred
11,MUM-E021690,,0.364,0.1416,53.0,0,,inferred
12,MUM-E022112,I A Project Road,0.3639,0.1399,53.0,0,,inferred
13,MUM-E001499,,0.3632,0.1405,52.9,0,,inferred
14,MUM-E004659,,0.3632,0.1418,52.9,0,,inferred
15,MUM-E015041,,0.3632,0.1429,52.9,1,,inferred
16,MUM-E025673,,0.3636,0.1409,52.9,0,,inferred
17,MUM-E004658,,0.363,0.1412,52.8,1,,inferred
18,MUM-E004661,,0.3626,0.1457,52.8,0,,inferred
19,MUM-E015040,,0.363,0.1431,52.8,0,,inferred
20,MUM-E025671,,0.3626,0.1418,52.8,0,,inferred
21,MUM-E025672,,0.3623,0.1431,52.8,0,,inferred
22,MUM-E015039,,0.3618,0.145,52.7,0,,inferred
23,MUM-E021689,,0.3617,0.1431,52.7,0,,inferred
24,MUM-E001498,,0.3604,0.146,52.5,0,,inferred
25,MUM-E021688,,0.3604,0.1365,52.5,0,,inferred
