=== overpass_pois: 593 elements; osm3s=2026-09-04T15:32:36Z
{'station': 76, 'hospital': 373, 'other': 63, 'fire_station': 11, 'government': 43, 'school': 4, 'library': 1, 'pumping_station': 13, 'tunnel': 5, 'parking': 2, 'wastewater_plant': 1, 'cinema': 1}
  node/2187315849 | Testing Fire Station | fire_station | 19.03962 72.85389 | admin_level= | operator=
  node/2311428475 | Chembur Fire Station | fire_station | 19.05452 72.89352 | admin_level= | operator=Mumbai fire brigade
  node/2647295137 | Bharat Petroleum | station | 19.03528 72.89556 | admin_level= | operator=
  node/2663263713 | Sion | station | 19.04652 72.86328 | admin_level= | operator=CR
  node/4998848423 | Bharatiya Arogya Nidhi Sheth Kantilal C. Parikh General Hospital | hospital | 19.11178 72.82834 | admin_level= | operator=
  node/6175360983 | Lokmanya Tilak Terminus | station | 19.06947 72.89198 | admin_level= | operator=CR
  node/7225067271 | L.T.Muncipal Medical College and Sion Hospital | hospital | 19.03692 72.85820 | admin_level= | operator=
  node/7664032232 | Sion Hospital | hospital | 19.03638 72.85987 | admin_level= | operator=
  node/9024751917 |  | fire_station | 19.03312 72.84121 | admin_level= | operator=
  node/9739425791 | Hindmata Cinema |  | 19.00914 72.84193 | admin_level= | operator=
  node/9739425792 | Hindmata Cinema |  | 19.01010 72.84214 | admin_level= | operator=
  node/9739425796 | Bharatmata Cinema |  | 18.99514 72.83678 | admin_level= | operator=
  node/9739425797 | Bharatmata Cinema |  | 18.99581 72.83660 | admin_level= | operator=
  node/14125092873 | BMC Carol Road Sewage Water Pumping Station | pumping_station | 19.00698 72.83521 | admin_level= | operator=MCGM
  node/14125092874 | BMC Tulsi Pipe Sewage Water Pumping Station | pumping_station | 18.99781 72.82749 | admin_level= | operator=MCGM
  node/14125092875 | BMC Globe Mill Sewage Water Pumping Station | pumping_station | 19.00496 72.82315 | admin_level= | operator=MCGM
  node/14125092877 | BMC Cleaveland Sewage Water Pumping Station | pumping_station | 19.01669 72.81793 | admin_level= | operator=MCGM
  node/14125092878 | BMC Mahim Sewage Water Pumping Station | pumping_station | 19.02520 72.84516 | admin_level= | operator=MCGM
  node/14125092879 | BMC Wadala Sewage Water Pumping Station | pumping_station | 19.01565 72.85809 | admin_level= | operator=MCGM
  node/14125092883 | BMC BKC Sewage Water Pumping Station | pumping_station | 19.06031 72.86484 | admin_level= | operator=MCGM
  node/14125092884 | BMC Kalina Sewage Water Pumping Station | pumping_station | 19.07468 72.86581 | admin_level= | operator=MCGM
  node/14125247269 | BMC Kadeshwari Sewage Water Pumping Station | pumping_station | 19.05825 72.82215 | admin_level= | operator=MCGM
  node/14125247275 | BMC Sakinaka Sewage Water Pumping Station | pumping_station | 19.10721 72.88502 | admin_level= | operator=MCGM
  way/39532540 | Milan Subway |  | 19.09045 72.84283 | admin_level= | operator=
  way/49681498 | Lokmanya Tilak Hospital | hospital | 19.03636 72.85921 | admin_level= | operator=
  way/100841069 | Hindmata Flyover |  | 19.00551 72.83983 | admin_level= | operator=
  way/100841079 | Hindmata Flyover |  | 19.00548 72.83991 | admin_level= | operator=
  way/102170846 | Hindmata Flyover |  | 19.00725 72.84094 | admin_level= | operator=
  way/102170847 | Hindmata Flyover |  | 19.00925 72.84196 | admin_level= | operator=
  way/102171414 | Hindmata Flyover |  | 19.00920 72.84203 | admin_level= | operator=
  way/102172129 | Hindmata Flyover |  | 19.01094 72.84293 | admin_level= | operator=
  way/102172132 | Hindmata Flyover |  | 19.00721 72.84102 | admin_level= | operator=
  way/115628091 | F/N BMC Ward Office |  | 19.02656 72.85427 | admin_level= | operator=
  way/116072855 | Dadar Fire Brigade | fire_station | 19.01418 72.84571 | admin_level= | operator=
  way/156055065 | Pedestrian Subway |  | 19.06786 72.90290 | admin_level= | operator=
  way/216492416 | Hindmata Flyover |  | 19.00399 72.83895 | admin_level= | operator=
  way/216492417 | Hindmata Flyover |  | 19.01103 72.84289 | admin_level= | operator=
  way/216492418 | Hindmata Flyover |  | 19.00400 72.83883 | admin_level= | operator=
  way/220302517 | BMC Influent Sewage Water Pumping Station | pumping_station | 19.04659 72.83735 | admin_level= | operator=MCGM
  way/236596240 | BMC Ward Office |  | 19.02996 72.85427 | admin_level= | operator=
  way/310812690 | BMC Pumping station Building no 1 |  | 19.11848 72.82295 | admin_level= | operator=
